index,Subject,RT,accuracy_nonword,accuracy_word,acc
1,193287,729,0,,0
2,193287,757,1,,1
3,193287,656,,1,1
4,193287,482,,1,1
5,193287,447,1,,1
6,193287,510,1,,1
7,193287,577,,1,1
8,193287,533,,1,1
9,193287,705,,1,1
10,193287,503,1,,1
11,193287,463,,1,1
12,193287,475,,1,1
13,193287,568,1,,1
14,193287,507,,1,1
15,193287,480,,1,1
16,193287,504,,1,1
17,193287,549,1,,1
18,193287,474,,1,1
19,193287,524,,1,1
20,193287,770,1,,1
21,193287,755,1,,1
22,193287,601,1,,1
23,193287,567,1,,1
24,193287,894,,0,0
25,193287,648,1,,1
26,193287,534,,0,0
27,193287,470,,1,1
28,193287,499,0,,0
29,193287,517,1,,1
30,193287,525,1,,1
31,193287,562,,1,1
32,193287,695,1,,1
33,193287,739,0,,0
34,193287,552,,1,1
35,193287,672,1,,1
36,193287,540,,1,1
37,193287,612,,1,1
38,193287,717,1,,1
39,193287,516,1,,1
40,193287,783,,1,1
41,193287,530,1,,1
42,193287,790,1,,1
43,193287,692,,1,1
44,193287,544,,1,1
45,193287,630,1,,1
46,193287,440,,1,1
47,193287,521,1,,1
48,193287,598,,1,1
49,193287,640,,1,1
50,193287,1074,1,,1
51,193287,589,,1,1
52,193287,1309,1,,1
53,193287,523,,1,1
54,193287,643,,1,1
55,193287,853,,1,1
56,193287,669,1,,1
57,193287,482,,1,1
58,193287,619,1,,1
59,193287,720,1,,1
60,193287,677,1,,1
61,193287,518,,1,1
62,193287,523,1,,1
63,193287,548,,1,1
64,193287,502,1,,1
65,193287,533,,1,1
66,193287,534,,1,1
67,193287,594,1,,1
68,193287,644,1,,1
69,193287,512,1,,1
70,193287,524,,1,1
71,193287,535,1,,1
72,193287,472,,0,0
73,193287,545,1,,1
74,193287,485,1,,1
75,193287,562,,1,1
76,193287,494,,1,1
77,193287,564,,1,1
78,193287,497,,1,1
79,193287,529,,1,1
80,193287,742,1,,1
81,193287,640,1,,1
82,193287,540,1,,1
83,193287,569,,1,1
84,193287,563,1,,1
85,193287,536,1,,1
86,193287,753,0,,0
87,193287,552,1,,1
88,193287,510,1,,1
89,193287,502,1,,1
90,193287,804,,1,1
91,193287,499,,1,1
92,193287,560,,1,1
93,193287,534,1,,1
94,193287,558,,1,1
95,193287,653,1,,1
96,193287,608,,1,1
97,193287,502,,1,1
98,193287,512,,1,1
99,193287,678,,1,1
100,193287,583,1,,1
